route_id,stop_id_list
10076,"['22050', '25997', '32974', '31629', '34188', '33336', '33335', '30781', '32245', '33137', '26350', '31537', '32931', '33291', '33392']"
10077,"['30897', '30700', '25912', '34930', '26351', '26347', '24451', '24449', '33337', '30777', '30779', '27539', '34853', '25990', '25997', '36152']"
10078,"['29871', '33643', '25151', '31960', '33024', '27480', '34234', '34435', '34434', '34246', '21140', '20691', '21053', '21580', '20661', '20739', '20626', '21056', '21044', '35393', '35396', '20943', '31416', '20728', '21196', '20927', '21166']"
10081,"['21167', '20928', '20727', '21232', '20942', '21123', '21272', '23479', '35403', '21043', '21057', '21042', '20664', '23370', '21052', '20690', '28062', '27673', '28066', '28068', '34234', '34164', '26103', '29870', '33644', '29871']"
10082,"['22199', '21231', '20726', '21193', '21125', '21194', '22278', '21020', '21235', '21093', '20805', '20741', '20672', '22527', '21060', '20634', '20656', '21229', '20863', '22207', '22203', '22536', '21756', '22496', '33899', '21851', '23219', '24455', '21715', '21791', '22456', '22155', '22054', '22056', '22050', '32978', '28146', '32977', '32403', '34014', '32981', '33538', '25692', '25520', '31854', '23213', '24434', '34025', '33713', '29069', '24605', '24599', '30929', '24466', '34566', '32647', '34555', '29826']"
10083,"['31937', '28341', '25336', '34839', '32252', '33408', '32317', '32323', '33966', '28560', '29173', '32237', '23212', '35663', '32742', '32828', '33539', '26004', '32404', '32976', '22454', '25997', '36152', '22051', '22057', '22055', '22157', '22455', '21790', '21714', '21680', '21850', '28932', '22495', '21755', '22535', '22202', '22206', '22204', '20864', '21228', '20657', '20635', '21061', '20862', '20671', '20742', '20806', '20969', '20846', '20970', '21126', '20727', '21232', '22199']"
10087,"['21479', '20974', '22235', '35359', '22617', '21731', '21800', '22503', '22510', '22290', '24821', '21916', '35940', '22073', '22361', '26131', '22000', '22390', '35942', '22548', '26978', '21945', '24153']"
10094,"['20742', '20806', '20807', '20969', '20846', '20970', '22385', '29591', '22350']"
10095,"['22349', '21677', '23190', '22755', '22693', '22226', '22006', '20805', '20741']"
10098,"['35925', '33643', '25151', '31960', '33024', '27480', '34234', '34435', '34434', '34246', '21140', '20691', '21053', '21580', '20661', '20739', '20626', '21056', '21044', '35393', '35396', '20943', '21231', '20726', '21193', '21125', '21194', '22279', '22058', '22287', '21864', '21914', '21917', '22178', '22336', '22316', '22193', '35189', '23646', '35810', '24153']"
10100,"['35925', '33643', '25151', '30429']"
10101,"['33165', '32566', '32567', '33644', '35925']"
10102,"['20921', '20729', '21123', '21272', '23479', '35403', '21043', '21057', '21042', '20664', '23370', '21052', '20690', '37654', '27673', '28066', '28068', '34234', '34164', '26103', '29870', '33644', '35925', '21823']"
10103,"['21823', '39073', '33643', '25151', '31960', '33024', '27480', '34234', '34435', '34434', '34246', '21140', '20691', '21053', '21580', '20661', '20739', '20626', '21056', '21044', '35393', '20673', '20922']"
10104,"['35925', '33643', '25151', '31960', '33024', '27480', '34234', '34435', '34434', '34246', '21140', '20691', '21053', '21580', '20661', '20739', '20626', '21056', '21044', '35393', '20673', '20922']"
10108,"['20941', '22243', '21812', '21746', '23728', '20808', '21197', '21066', '22512', '21716', '22472', '22044', '20843', '20845', '21089', '21250', '24758', '29088', '34511', '25652', '29703']"
10109,"['29703', '32810', '28245', '33976', '32393', '21249', '21088', '32685', '21717', '22511', '21009', '21198', '20778', '20809', '20933', '21119', '20644', '20709', '20986', '21557', '21231', '20725', '35383', '20922']"
10112,"['21172', '20798', '35302', '24241', '21174', '35303', '20702', '20990', '20751', '20810', '21007', '22901', '24194', '20777', '21072', '24196', '20631', '20587', '21101', '20975', '20996', '21269', '21623', '21010', '21267', '20852', '20714', '20779', '20712']"
10113,"['20713', '20780', '20715', '20853', '39679', '35395', '21011', '21266', '20997', '20976', '21103', '20586', '29788', '21072', '20776', '20629', '22901', '21051', '21008', '20811', '20752', '20991', '20971', '35073', '24239', '22699', '23356', '23235', '22585', '21805', '21868', '20855', '21173']"
10114,"['21042', '20739', '20613', '20853', '20714', '20779', '20712', '22776']"
10116,"['28443', '29476', '34225', '33916', '28442', '27712', '21236', '21209', '20593', '29231']"
10118,"['35727', '36719']"
10121,"['32434', '22050']"
10122,"['22046', '22049', '25997', '36152', '22051', '32434']"
10133,"['35407', '21977', '22405', '28163', '21588', '22296', '22139', '21798', '22268', '35384', '22249', '21629', '21581', '21624', '22169', '22244', '21748', '22406', '22264', '22161', '22322', '22664', '20924', '22168', '21111', '22166', '20883', '20781', '21095', '20925', '21094', '35721']"
10142,"['36726', '33305', '33301']"
10144,"['36727', '35933', '20863', '20946']"
10145,"['20946', '20864', '36727']"
10164,"['35891', '23600', '27463', '22363', '21844', '21640', '24684', '26902', '32289', '26900', '29742', '26707', '34675', '23003', '23002', '32970', '32638', '29953', '24900', '32444', '34776', '27693', '22850', '20954', '27956', '30477', '20605', '21142', '20628', '21063', '21095', '20926']"
10165,"['20925', '21094', '35721', '35386', '20627', '35390', '20604', '30476', '35388', '35432', '22849', '34257', '34775', '24904', '32442', '32007', '25317', '25982', '23002', '23004', '26624', '34708', '31898', '26821', '24543', '34799', '24674', '21641', '21845', '22364', '23638', '36170']"
10166,"['36643', '29629']"
10167,"['36643', '29629']"
10168,"['22426', '21719', '22517', '28703', '28872', '22246', '21793', '21967', '24153', '26323', '27670', '22180', '22549', '24707', '22388', '26134', '21922', '22223', '20806', '20807', '20969', '22255', '22252', '20799', '21258', '20983', '20697', '20922']"
10169,"['29629', '36643']"
10170,"['36643', '29629']"
10171,"['29629', '36643']"
10172,"['29629', '36643']"
10185,"['28703', '28872', '22246', '21793', '21967', '24153', '35363', '23421', '20862', '20671', '20742']"
10186,"['36734', '35815']"
10187,"['35815', '36734']"
10188,"['36735', '35815']"
10189,"['35815', '36735']"
10190,"['20741', '20672', '22527']"
10192,"['36231', '36418']"
10196,"['36739', '36740']"
10200,"['20944', '20987', '35139', '23666', '23825', '23661', '20965', '21064', '20643', '21033', '20880', '21191', '21275', '20952', '20947', '20973', '21138', '20674', '20783', '20950', '21181', '20840', '22380', '22192', '21933', '23991', '35336', '23992', '20662', '21282', '20772', '34544']"
10201,"['28319', '20772', '21283', '20663', '21180', '35352', '20773', '20935', '21090', '20841', '21182', '20951', '20784', '20675', '21143', '20974', '21192', '20881', '21034', '20642', '21065', '20966', '22929', '23922', '20967', '21232', '20945']"
10207,"['21673', '22626', '21993', '21987', '22355', '22561', '22008', '21818', '22024', '21787', '21776', '22018', '39203', '22064', '22595', '21934', '20935', '21090', '20841', '21182', '20951', '20784', '20675', '21143', '20707']"
10210,"['20944', '20987', '35139', '23666', '23825', '23661', '20965', '21064', '20643', '21033', '20880', '21191', '21275', '20952', '20947', '20973', '21138', '20674', '20783', '20950', '21181', '20840', '22380', '22192', '21933', '22594', '22063', '39202', '22017', '21775', '21786', '22023', '21817', '22007', '33688', '23035', '33982', '34004']"
10211,"['34004', '29101', '23034', '28508', '33689', '22008', '21818', '22024', '21787', '21776', '22018', '39203', '22064', '22595', '21934', '20935', '21090', '20841', '21182', '20951', '20784', '20675', '21143', '20974', '21192', '20881', '21034', '20642', '21065', '20966', '22929', '23922', '20967', '21232', '20945']"
10215,"['20921', '20981', '20939', '21195', '20728', '21196', '20927', '21166', '21280', '20560', '20965', '21064', '20643', '21033', '20880', '21191', '21275', '20952', '20947', '20973', '21138', '20674', '20783', '20950', '21181', '20840', '24175', '23376', '35372', '30867']"
10216,"['20944', '20987', '35139', '23666', '23825', '23661', '20965', '21064', '20643', '21033', '20880', '21191', '21275', '20952', '20947', '20973', '21138', '20674', '20783', '20950', '21181', '20840', '32234', '27617']"
10217,"['30866', '28004', '23389', '24169', '32951', '21182', '20951', '20784', '20675', '21143', '20974', '35646', '21192', '20881', '21034', '20642', '21065', '20966', '20563', '21281', '21167', '20928', '22667', '20725', '35383', '20922']"
10218,"['27617', '24427', '32951', '21182', '20951', '20784', '20675', '21143', '20974', '35646', '21192', '20881', '21034', '20642', '21065', '20966', '22929', '23922', '20967', '21232', '20945']"
10219,"['20921', '20981', '20939', '21195', '20728', '21196', '20927', '21166', '21280', '20560', '20965', '21064', '20643', '21033', '20880', '21191', '21275', '20952', '20947', '20973', '21138', '20674', '20783', '20950', '21181', '20840', '22380', '20934', '20732', '23330', '25057']"
10220,"['24866', '34730', '32283', '33014', '35660', '33511', '25653']"
10221,"['32521', '23998', '24733', '20858', '21180', '21934', '20935', '20841', '21182', '20951', '20784', '20675', '21143', '20974', '35646', '21192', '20881', '21034', '20642', '21065', '20966', '20563', '21281', '21167', '20928', '22667', '20725', '35383', '20922']"
10222,"['36744', '36701']"
10223,"['36701', '36744']"
10224,"['36649', '36650']"
10225,"['36650', '36649']"
10226,"['36649', '36650']"
10227,"['36650', '36649']"
10232,"['20946', '20864', '35933', '22086', '22085', '22417', '22415', '22633', '22419', '22421', '37623', '23246', '25003', '33385', '31971', '34444', '31277', '21060', '20635', '20862', '20671', '20742', '20806', '20807', '20969', '20846', '20970', '21126', '20927', '21166']"
10234,"['21167', '20928', '21125', '21194', '22278', '22058', '22226', '22006', '20805', '20741', '20672', '22527', '36295', '28090', '29894', '30882', '25003', '23248', '21695', '22420', '22418', '22632', '22414', '22416', '22084', '20863', '22205']"
10238,"['20944', '20987', '35139', '23666', '23825', '23661', '20965', '21064', '20643', '21033', '20880', '21191', '21275', '20952', '20947', '20973', '21138', '20674', '20783', '20950', '21181', '20840', '22380', '22192', '21933', '22594', '22063', '39202', '22017', '21775', '21786', '22023', '21817', '23834', '35227', '23833', '23835', '35163', '23837', '34038']"
10239,"['20946', '20864', '35933', '22086', '22085', '22417', '22415', '22633', '22419', '22421', '37623', '23246', '25003', '33385', '31971', '34444', '38698', '38697', '31277', '21060', '20635', '20862', '20671', '20742', '20806', '20807', '20969', '22255', '22252', '21258', '21556', '21491', '20922']"
10249,"['36746', '36518']"
10250,"['36518', '36746']"
10255,"['21887', '21203', '20905', '20929', '20599', '20976', '21102', '38800', '20559', '20585', '20578', '21026', '21071', '22698', '20982', '21216', '23357', '29044']"
10256,"['36595', '36341']"
10257,"['36341', '36595']"
10258,"['29044', '23235', '24174', '21217', '20985', '20697', '20922', '35387', '21025', '20577', '20584', '20558', '38801', '21101', '28613', '20600', '20930', '20906', '35413', '21887']"
10260,"['21886', '35933', '20863', '22207', '22203', '22536', '21756', '22496', '33899', '21851', '23219', '24455', '21715', '21791', '22456', '22155', '22054', '22056', '22050', '25997', '32974', '31629', '34188', '33336', '33335', '30781', '32245', '33137', '26350', '31537', '33757', '33387', '33755', '34220', '25022', '34793']"
10262,"['20944', '20987', '35139', '23666', '23825', '23661', '20965', '21064', '20643', '21033', '20880', '21191', '21275', '20952', '20947', '20973', '21138', '20674', '20783', '20950', '21181', '20840', '22380', '22192', '21933', '22594', '22063', '35305']"
10264,"['28131', '22064', '22595', '21934', '20935', '21090', '20841', '21182', '20951', '20784', '20675', '21143', '20974', '21192', '20881', '21034', '20642', '21065', '20966', '22929', '23922', '20967', '21232', '20945']"
10270,"['20922', '35387', '21025', '20577', '20584', '20558', '38801', '21101', '28613', '20600', '20930', '20906', '21204', '20937', '39572', '21206', '21530', '21456', '21508', '21475', '21493', '21516', '21547', '21488', '21510', '21562', '21549', '21599', '35809']"
10271,"['21229', '21112', '20615', '20977', '20774', '20762', '20912', '23194', '21031', '20894', '21058', '20753', '20770', '20639', '21091', '20888', '20850', '20597', '20748', '20569', '21176', '32213']"
10272,"['20707', '21177', '20568', '20749', '20598', '20851', '20889', '21092', '20638', '20771', '20754', '21059', '20895', '21032', '22670', '20913', '20761', '20775', '20978', '20616', '21113', '21228', '20915', '22651', '21264', '20839', '20617', '20904', '21528', '20816', '20885', '20999', '21252', '20920', '21527']"
10273,"['20750', '21527']"
10274,"['20823', '20750']"
10277,"['35746', '36752']"
10280,"['21795', '22397', '21762', '21985', '22196', '22303', '21797', '22128', '21956', '22100', '35177', '22028', '22030', '25862', '35921', '20903', '20588', '20618', '20838', '21263', '20614', '20914', '21229', '21112', '21696', '22237', '22492', '21953', '21781', '22036', '22410', '37982', '20670', '21079', '20866', '20801', '20680', '20836', '20901', '20902']"
10281,"['20902', '20900', '20837', '20681', '20800', '20865', '21078', '21768', '37983', '22411', '35198', '38419', '33145', '21782', '21954', '22493', '22238', '21113', '21228', '20915', '22651', '21264', '20839', '20617', '21450', '20904', '35920', '25856', '25861', '22027', '22025', '24048', '21955', '22127', '21796', '22302', '22195', '21984', '21761', '22396', '21794']"
10284,"['20921', '20981', '20939', '21195', '20728', '21196', '20927', '21166', '21280', '20560', '20965', '21064', '35108', '22744', '35767', '22745', '23575', '35076', '23577', '23578', '35120', '23145', '35109', '22749', '23584', '35161', '23586', '23587', '23588', '35130', '22752', '35093', '35062', '23060', '23779', '23780', '23781', '35145', '24076', '24077', '22779', '24079', '24080', '24081', '35085', '35299', '24084', '24085', '35167', '35118', '34753', '36754']"
10285,"['36754', '26809', '35297', '22785', '24225', '24226', '35299', '35300', '24229', '24230', '24231', '22780', '24233', '24234', '35140', '24131', '24132', '24133', '24134', '35281', '35133', '22760', '35230', '23863', '23864', '23865', '35231', '23867', '22763', '35232', '23147', '35156', '23870', '23871', '35233', '23873', '23874', '22768', '35057', '21065', '20966', '20563', '21281', '21167', '20928', '22667', '20725', '35383', '20922']"
10286,"['20921', '20981', '20939', '21195', '20728', '22676', '23666', '23825', '23661', '20965', '21064', '20643', '21033', '20880', '21191', '21275', '20952', '20947', '20973', '21138', '20674', '20783', '20950', '21181', '20840', '22380', '22192', '21933', '22594', '22063', '35305']"
10290,"['29629', '36643']"
10293,"['35759', '35746']"
10295,"['20944', '20987', '35139', '23666', '23825', '23661', '20965', '21064', '20643', '21033', '20880', '21191', '21275', '20952', '20947', '20973', '21138', '20674', '20783', '20950', '21181', '20840', '34711']"
10296,"['34711', '21182', '20951', '20784', '20675', '21143', '20974', '21192', '20881', '21034', '20642', '21065', '20966', '22929', '23922', '20967', '21232', '20945']"
10301,"['35737', '35739']"
10302,"['35739', '35737']"
10303,"['27825', '21800', '35137', '35100']"
10304,"['35267', '22502', '21799', '27825']"
10308,"['22462', '22392', '22500', '21867', '22630', '21814', '22547', '23909', '35237', '39633', '35243', '35238', '35239', '28169', '23058', '23914', '35240', '23392', '23916', '23917', '23918', '35771', '24000', '23920', '22892', '23942', '23943', '35137', '35100', '23946', '23947', '23948', '34400', '23950', '23951', '23190', '31011']"
10309,"['36747', '36745']"
10311,"['21259', '20855', '35779', '22253', '22256', '35306', '21093', '20805', '20741', '20672', '22527', '21060', '20634', '20656', '21229', '21112', '21696', '22237', '22492', '21953', '21781', '22035', '22410', '37982', '20670', '21079', '20866', '20801', '20680', '22037', '22320', '21821']"
10312,"['21822', '22321', '20837', '20681', '20800', '20865', '21078', '21768', '37983', '22411', '35198', '38419', '33145', '21782', '21954', '22493', '22238', '21697', '21113', '21228', '20657', '20635', '21061', '20862', '20671', '20742', '20806', '20807', '21235', '22255', '22252', '21172', '35138', '21258', '20983', '20696', '20922']"
10314,"['22640', '22643', '31172', '33453', '31579', '34203', '29626', '33030', '29992', '33001', '34626', '31981', '31590', '30572', '24574', '33910', '32538', '28306', '33997', '31944', '32320', '34015']"
10315,"['34016', '32311', '29836', '33995', '34539', '32538', '28954', '32304', '30568', '27274', '29914', '34627', '33002', '32026', '26090', '35633', '27578', '34897', '33454', '22184', '22644', '22641']"
10320,"['20637', '20961', '20757', '20660', '20823', '20919', '22593', '20998', '20884', '20815', '21522', '20903', '20588', '20618', '20838', '21263', '20614', '20914', '21229', '21112', '21696', '22237', '22492', '21953', '21781', '22036', '22410', '37982', '20670', '21079', '20866', '20801', '20680', '37509', '20901', '20902']"
10321,"['20902', '20900', '20837', '20681', '20800', '20865', '21078', '21768', '37983', '22411', '35198', '38419', '33145', '21782', '21954', '22493', '22238', '21113', '21228', '20915', '22651', '21264', '20839', '20617', '21450', '20904', '21528', '20816', '20885', '20999', '21252', '20920', '21527', '20659', '20758', '20962', '20636']"
10325,"['36206', '36761']"
10327,"['21166', '21280', '20560', '20965', '21064', '20643', '21033', '20880', '21191', '21275', '20952', '23893', '23894', '23895', '35769', '20851', '23896', '23897', '23898', '23390', '35104', '23900', '23901', '34475', '35072', '35124', '35131', '32350', '33303', '32880', '32892', '25815']"
10328,"['25815', '25814', '25788', '33304', '32349', '35243', '35238', '35239', '28169', '23058', '23914', '35240', '23392', '23916', '23917', '23918', '35771', '24000', '23920', '22892', '23921', '23333', '23383', '35369']"
10331,"['34885', '36657', '20823', '20919', '22593', '20998', '20884', '20815', '21522', '20903', '20588', '20618', '20838', '21263', '20614', '20914', '21229', '20863', '22205']"
10332,"['22204', '20864', '21228', '20915', '22651', '21264', '20839', '20617', '21450', '20904', '21528', '20816', '20885', '20999', '21252', '20920', '25819', '33931', '33932', '31591']"
10334,"['20623', '20897', '20899', '20756', '35772', '20917', '20876', '20843', '20845', '21089', '21250', '34321', '22897', '29205', '31929', '28656', '21204', '20937', '39572', '21206', '26277', '32914', '33862', '33739', '38617', '21055', '20827', '20824', '21024', '21080', '20566', '20684', '21068', '21136', '21236', '21209', '20867']"
10337,"['36759', '36231']"
10339,"['36231', '36759']"
10340,"['23901', '34475', '35072', '35124', '35131', '39632', '35149', '23906', '22546', '21813', '22629', '21866', '22497', '22391', '23907']"
10341,"['22199', '21231', '20726', '21193', '21125', '21194', '22278', '21235', '21093', '20805', '20741', '20672', '22527', '21060', '20634', '20656', '21229', '21112', '21696', '22237', '22492', '21953', '21781', '22035', '22410', '37982', '20670', '21079', '20866', '20801', '20680', '22037', '22320', '21821', '22553', '22448', '21759', '21905', '21907', '25966', '24753', '34467', '33902', '32106', '25732', '29331', '28475', '34291', '36765']"
10345,"['36670', '36231']"
10346,"['36231', '36670']"
10349,"['36670', '36231']"
10350,"['36231', '36670']"
10353,"['36670', '36231']"
10354,"['36231', '36670']"
10355,"['36599', '36600']"
10357,"['36762', '35771', '24000', '23920', '22892', '23942', '23943', '35137', '35100', '23594', '23595', '23596', '23597', '22990', '35544', '23598', '24136', '22877', '23599', '21281', '21167', '20928', '22667', '20725', '35383', '20922']"
10369,"['36768', '35739']"
10370,"['35739', '36768']"
10371,"['36505', '35746']"
10372,"['35746', '36505']"
10377,"['36770', '36654']"
10378,"['36654', '36770']"
10379,"['35746', '36651']"
10381,"['35737', '35739']"
10382,"['35739', '35737']"
10384,"['33301', '35499', '29801', '25040', '32068', '32070', '22995', '34380', '34386', '30498', '27719', '33263', '30642', '31242', '34308', '29086', '26006', '28031', '37623', '23246', '32494', '33385', '31971', '34444', '31277', '21060', '20634', '21061', '20862', '20671', '20742', '20806', '20807', '20969', '20846', '20970', '21126', '22667', '35383', '20922']"
10385,"['21191', '21275', '20952', '23893', '23942', '23943', '24618']"
10387,"['24618', '23938', '23939', '23894', '23895', '35769', '20851', '23896', '23897', '23898', '23390', '35104', '23900', '23901', '34475', '35072', '35124', '35131', '39632', '35149', '23906', '22546', '21813', '22629', '21866', '22497', '22391', '23907']"
10394,"['20937', '39572', '21206', '26277', '21530', '21456', '21508', '21475', '33813', '23989', '23990', '32777', '33498']"
10395,"['35317', '24300', '24301', '26020', '24000', '23920', '22892', '23921', '23333', '23383', '35369']"
10396,"['21238', '35914', '25589', '24290', '24291', '23988', '21492', '21474', '24294', '21455', '21523', '20874', '21205', '20936', '21203', '20905', '20929', '20891', '20813', '20592', '21274', '21165', '21028', '21051', '21008', '20811', '20752', '20991', '20971', '35073', '24239', '22699', '23356', '23357', '23235', '22585', '21805', '21868', '20855', '21173']"
10397,"['21933', '23992', '20662', '21282', '20772']"
10398,"['20772', '21283', '20663', '21180', '20773', '20935', '21090', '20841', '21182', '20951', '20784', '20675', '21143', '37850', '21177', '20568', '20749', '20598', '20851', '20889', '21092', '20638', '20771', '20754', '21059', '20895', '21032', '22670', '20913', '20761', '20775', '20978', '20616', '21113', '21228', '20915', '22651', '21264', '20839', '20617', '20904', '21528', '20816', '20885', '20999', '21252', '20920', '20823']"
10399,"['21204', '20937', '39572', '21206', '26277', '21530', '21456', '21508', '21475', '33813', '23989', '23990', '32777', '33498', '35915', '21239', '21238']"
10400,"['21081', '21023', '20825', '20826', '21054', '21262', '26277', '21530', '21456', '21508', '21475']"
10404,"['35809', '21598', '21548', '21561', '33718', '33717']"
10405,"['28568', '28570', '21561', '21549', '21599', '35809']"
10406,"['20940', '21231', '20726', '21193', '21125', '21194', '22278', '21235', '21093', '20805', '20741', '20672', '22527', '21060', '20634', '20656', '21229', '21112', '21696', '22237', '22492', '21953', '21781', '22035', '22410', '37982', '20670', '21079', '20866', '20801', '20680', '22037', '22320', '21821', '22553', '22448']"
10407,"['22449', '22554', '21822', '22321', '20837', '20681', '20800', '20865', '21078', '21768', '37983', '22411', '35198', '38419', '33145', '21782', '21954', '22493', '22238', '21697', '21113', '21228', '20657', '20635', '21061', '20862', '20671', '20742', '20806', '20807', '20969', '20846', '20970', '21126', '20727', '21232', '20940']"
10412,"['28568', '28570', '21561', '21509', '21487', '21546', '21515', '21492', '21474', '24294', '21455', '21523', '20874', '21205', '20936', '21203', '20905', '20929', '20599', '20976', '21102', '38800', '20559', '20585', '20578', '21026', '21071', '20922']"
10415,"['35267', '35103', '23938', '23939', '23894', '23895', '35769', '20851', '20889', '21092', '20638', '20771', '20754', '21059', '20895', '21032', '22662', '22261', '22628', '22002', '22022', '39490', '35189', '23646', '35810', '21743', '36497']"
10428,"['36480', '36470']"
10434,"['36780', '35727']"
10438,"['21172', '20857', '22253', '22256', '35306', '21093', '20805', '20741', '20672', '22527', '21060', '20634', '20656', '21229', '20863', '22205', '22207', '22203', '26841', '34769', '32650', '33495', '31096', '25191', '30069', '32512', '31926', '29497', '33300']"
10439,"['33301', '35499', '29801', '25040', '32068', '32070', '25191', '31096', '31098', '25342', '26843', '22535', '22202', '22206', '22204', '20864', '21228', '20657', '20635', '21061', '20862', '20671', '20742', '20806', '20969', '22255', '22252', '21173']"
10442,"['33320', '31065', '22174', '22439', '21973', '22452', '22157', '22455', '36723', '26503', '32761', '27447', '34283', '28752']"
10443,"['33809', '27752', '34151', '25553', '34621', '21791', '22456', '36724', '22453', '21974', '22440', '22175', '22152', '21752', '22444', '21809', '22480', '28206', '21742', '22465', '20900', '22037', '22320', '21821', '22553', '22448', '21759', '21905', '32958', '34578', '24911', '34467', '33902', '32106', '25732', '29331', '33666', '27770']"
10444,"['27770', '28475', '34107', '32846', '28938', '28145', '24911', '26409', '25966', '21908', '21906', '21760', '22449', '22554', '21822', '22321', '20836', '20901', '22464', '21741', '28205', '22479', '21808', '22443', '21751', '22151', '22174', '22439', '21973', '22452', '22157', '22455', '36723', '26503', '32761', '27447', '34283', '28752']"
10464,"['36740', '36739']"
10465,"['36739', '36740']"
10466,"['21172', '20857', '21520', '21574', '21193', '23674', '20927', '21166', '23825', '21565', '21603', '21458', '21593', '21447', '23691', '30319']"
10468,"['20921', '20981', '20939', '21195', '20728', '22676', '23675', '22224', '22433', '21458', '21593', '21447', '23691', '30319']"
10469,"['30319', '21544', '21446', '21563', '21592', '23759', '22434', '38814', '22225', '22291', '22565', '20725', '35383', '20922']"
10472,"['37944', '25816', '20694', '21253', '20699', '32640', '33920', '23790', '23791', '23792', '21805', '21868', '20855', '21173']"
10473,"['21172', '22068', '21869', '22585', '24018', '24019', '24020', '21019', '20698', '21254', '20695', '20820', '20822']"
10478,"['36747', '36767']"
